1.5   59.2940271262334   59.1122342666747   0.181792859558648   0.180815991648227   0.060271997216076
3.5   59.1806720591752   59.1596210406293   0.021051018545826   0.351764311458852   0.050252044494122
5.5   59.1498201914952   59.1657899630317   0.015969771536511   0.50757957221411   0.04614359747401
7.5   59.1350062439377   59.1496583472313   0.014652103293535   0.604354968518993   0.0402903312346
9.5   59.1263863425643   59.1341297474456   0.007743404881268   0.663574002812187   0.034924947516431
11.5   59.1208058778772   59.1231495874661   0.002343709588928   0.704690028581989   0.030638696894869
13.5   59.1169088340393   59.1157733201337   0.001135513905631   0.737236169419303   0.027305043311826
15.5   59.1140334214662   59.1107695752124   0.003263846253788   0.765480125529355   0.024692907275141
17.5   59.1118234356275   59.1072866820523   0.004536753575188   0.791364271558041   0.022610407758801
19.5   59.1100711011566   59.1047924561159   0.005278645040754   0.815812952874987   0.020918280842948
21.5   59.1086471625444   59.1029574793323   0.005689683212118   0.839289530643093   0.019518361177746

